timestamp,download_mbps,upload_mbps,server
2026-06-12T11:26:35.091360,20.53,20.79,"Hong Kong, Hong Kong"
2026-06-12T11:28:58.603981,20.47,20.71,"Hong Kong, Hong Kong"
